"Step","ctrl_cost 0.5 ant box weight 1 - x_diff","ctrl_cost 0.5 ant box weight 1 - x_diff__MIN","ctrl_cost 0.5 ant box weight 1 - x_diff__MAX"
"0","-0.10949049998915335","-0.10949049998915335","-0.10949049998915335"
"1","0.39121603160147767","0.39121603160147767","0.39121603160147767"
"2","0.051722301229650824","0.051722301229650824","0.051722301229650824"
"3","-0.6638713296882968","-0.6638713296882968","-0.6638713296882968"
"4","-0.3960638018993707","-0.3960638018993707","-0.3960638018993707"
"5","-0.7528936177783547","-0.7528936177783547","-0.7528936177783547"
"6","-0.4412553006764192","-0.4412553006764192","-0.4412553006764192"
"7","-2.3377183954290417","-2.3377183954290417","-2.3377183954290417"
"8","0.5047106369834465","0.5047106369834465","0.5047106369834465"
"9","-0.6857034190383418","-0.6857034190383418","-0.6857034190383418"
"10","0.015852827581501538","0.015852827581501538","0.015852827581501538"
"11","1.529162066889103","1.529162066889103","1.529162066889103"
"12","0.37966861207823793","0.37966861207823793","0.37966861207823793"
"13","1.2383530815021606","1.2383530815021606","1.2383530815021606"
"14","0.032679194930826126","0.032679194930826126","0.032679194930826126"
"15","-3.7740972580745424","-3.7740972580745424","-3.7740972580745424"
"16","0.2985209169694067","0.2985209169694067","0.2985209169694067"
"17","-1.7325155407456134","-1.7325155407456134","-1.7325155407456134"
"18","-1.586462224052035","-1.586462224052035","-1.586462224052035"
"19","-3.408061181392458","-3.408061181392458","-3.408061181392458"
"20","-0.2436049848814642","-0.2436049848814642","-0.2436049848814642"
"21","-2.6412110817266443","-2.6412110817266443","-2.6412110817266443"
"22","0.30101273017495817","0.30101273017495817","0.30101273017495817"
"23","-1.8226041855469626","-1.8226041855469626","-1.8226041855469626"
"24","-2.179034975497043","-2.179034975497043","-2.179034975497043"
"25","-1.5048579133081939","-1.5048579133081939","-1.5048579133081939"
"26","-0.2204080734597801","-0.2204080734597801","-0.2204080734597801"
"27","0.7203947220755983","0.7203947220755983","0.7203947220755983"
"28","0.4428856974416331","0.4428856974416331","0.4428856974416331"
"29","-0.16954360643091382","-0.16954360643091382","-0.16954360643091382"
"30","-0.9234634886694156","-0.9234634886694156","-0.9234634886694156"
"31","-1.4392014553970296","-1.4392014553970296","-1.4392014553970296"
"32","-0.4345465269035267","-0.4345465269035267","-0.4345465269035267"
"33","-0.6027573012911692","-0.6027573012911692","-0.6027573012911692"
"34","-0.283311010008165","-0.283311010008165","-0.283311010008165"
"35","-0.12054010839411686","-0.12054010839411686","-0.12054010839411686"
"36","-0.778754723639515","-0.778754723639515","-0.778754723639515"
"37","-0.02478985437014987","-0.02478985437014987","-0.02478985437014987"
"38","0.9194648106240099","0.9194648106240099","0.9194648106240099"
"39","-0.24154846909035815","-0.24154846909035815","-0.24154846909035815"
"40","0.07785534228708511","0.07785534228708511","0.07785534228708511"
"41","-2.238157279523617","-2.238157279523617","-2.238157279523617"
"42","-1.6977258187823536","-1.6977258187823536","-1.6977258187823536"
"43","1.7198964617393777","1.7198964617393777","1.7198964617393777"
"44","-3.2543856328298117","-3.2543856328298117","-3.2543856328298117"
"45","-3.0217036581970262","-3.0217036581970262","-3.0217036581970262"
"46","-3.95497262609742","-3.95497262609742","-3.95497262609742"
"47","-3.3345453032946395","-3.3345453032946395","-3.3345453032946395"
"48","0.2989918552173625","0.2989918552173625","0.2989918552173625"
"49","-1.8245773143824633","-1.8245773143824633","-1.8245773143824633"
"50","0.1848999198080062","0.1848999198080062","0.1848999198080062"
"51","-1.2260460936799855","-1.2260460936799855","-1.2260460936799855"
"52","-1.3370273226216012","-1.3370273226216012","-1.3370273226216012"
"53","0.31476407138732126","0.31476407138732126","0.31476407138732126"
"54","-1.836192098190598","-1.836192098190598","-1.836192098190598"
"55","0.3865784983982079","0.3865784983982079","0.3865784983982079"
"56","-1.1792100981556488","-1.1792100981556488","-1.1792100981556488"
"57","-0.27616060149638927","-0.27616060149638927","-0.27616060149638927"
"58","-0.5998245951323565","-0.5998245951323565","-0.5998245951323565"
"59","0.8116599400484884","0.8116599400484884","0.8116599400484884"
"60","-1.7741639799160813","-1.7741639799160813","-1.7741639799160813"
"61","-0.4480050269930619","-0.4480050269930619","-0.4480050269930619"
