"Step","half cheetah leg weight - x_diff","half cheetah leg weight - x_diff__MIN","half cheetah leg weight - x_diff__MAX"
"0","-0.10163712677555195","-0.10163712677555195","-0.10163712677555195"
"1","-0.17990516050081073","-0.17990516050081073","-0.17990516050081073"
"2","-0.6130634281095226","-0.6130634281095226","-0.6130634281095226"
"3","-0.0007208165068191491","-0.0007208165068191491","-0.0007208165068191491"
"4","-0.3571999029673829","-0.3571999029673829","-0.3571999029673829"
"5","0.04806125253878753","0.04806125253878753","0.04806125253878753"
"6","-0.4978827307376367","-0.4978827307376367","-0.4978827307376367"
"7","0.08536314909599352","0.08536314909599352","0.08536314909599352"
"8","-0.07944906377605684","-0.07944906377605684","-0.07944906377605684"
"9","-0.3298383550829832","-0.3298383550829832","-0.3298383550829832"
"10","0.40865467211931233","0.40865467211931233","0.40865467211931233"
"11","-0.19460839835815555","-0.19460839835815555","-0.19460839835815555"
"12","-0.29793019043922686","-0.29793019043922686","-0.29793019043922686"
"13","-0.6667586421911167","-0.6667586421911167","-0.6667586421911167"
"14","-0.2966182273223728","-0.2966182273223728","-0.2966182273223728"
"15","-0.14657967584298895","-0.14657967584298895","-0.14657967584298895"
"16","0.06956103679553431","0.06956103679553431","0.06956103679553431"
"17","-0.00963262293433935","-0.00963262293433935","-0.00963262293433935"
"18","-0.0925875757003777","-0.0925875757003777","-0.0925875757003777"
"19","0.25231659051947913","0.25231659051947913","0.25231659051947913"
"20","0.3775255443489196","0.3775255443489196","0.3775255443489196"
"21","0.03191934315447802","0.03191934315447802","0.03191934315447802"
"22","0.3171177791261082","0.3171177791261082","0.3171177791261082"
"23","0.1800961615865505","0.1800961615865505","0.1800961615865505"
"24","-0.06050259713417379","-0.06050259713417379","-0.06050259713417379"
"25","0.2662967397680518","0.2662967397680518","0.2662967397680518"
"26","-0.28932895810955245","-0.28932895810955245","-0.28932895810955245"
"27","0.12371047971972052","0.12371047971972052","0.12371047971972052"
"28","-0.5067541487202255","-0.5067541487202255","-0.5067541487202255"
"29","0.0002550957934968586","0.0002550957934968586","0.0002550957934968586"
"30","-0.4330297870992155","-0.4330297870992155","-0.4330297870992155"
"31","-0.11044309248228079","-0.11044309248228079","-0.11044309248228079"
"32","-0.3371230394097289","-0.3371230394097289","-0.3371230394097289"
"33","0.2620381205533767","0.2620381205533767","0.2620381205533767"
"34","0.024294688558164898","0.024294688558164898","0.024294688558164898"
"35","0.687270617731236","0.687270617731236","0.687270617731236"
"36","0.07164001464716645","0.07164001464716645","0.07164001464716645"
"37","0.4238782191856296","0.4238782191856296","0.4238782191856296"
"38","0.442476531375062","0.442476531375062","0.442476531375062"
"39","0.32213522373034764","0.32213522373034764","0.32213522373034764"
"40","0.8937205187265624","0.8937205187265624","0.8937205187265624"
"41","0.23174694560796916","0.23174694560796916","0.23174694560796916"
"42","0.20836594298415798","0.20836594298415798","0.20836594298415798"
"43","1.4182041697298626","1.4182041697298626","1.4182041697298626"
"44","0.6335868590814051","0.6335868590814051","0.6335868590814051"
"45","0.8721895384775412","0.8721895384775412","0.8721895384775412"
"46","0.8974687500921428","0.8974687500921428","0.8974687500921428"
"47","-0.4506502840448115","-0.4506502840448115","-0.4506502840448115"
"48","-0.051161462255622035","-0.051161462255622035","-0.051161462255622035"
"49","1.4797192424170966","1.4797192424170966","1.4797192424170966"
"50","1.141558236192898","1.141558236192898","1.141558236192898"
"51","1.1801568663117108","1.1801568663117108","1.1801568663117108"
"52","0.3897138547972236","0.3897138547972236","0.3897138547972236"
"53","1.3349829780599352","1.3349829780599352","1.3349829780599352"
"54","0.47721810874841264","0.47721810874841264","0.47721810874841264"
"55","0.4523958770672751","0.4523958770672751","0.4523958770672751"
"56","0.8149318491007691","0.8149318491007691","0.8149318491007691"
"57","0.13998784204123615","0.13998784204123615","0.13998784204123615"
"58","0.8719368451970768","0.8719368451970768","0.8719368451970768"
"59","1.265225299608108","1.265225299608108","1.265225299608108"
"60","1.2292469512958528","1.2292469512958528","1.2292469512958528"
"61","0.9338691751188433","0.9338691751188433","0.9338691751188433"
"62","0.9258621314164966","0.9258621314164966","0.9258621314164966"
"63","1.1107477823157856","1.1107477823157856","1.1107477823157856"
"64","0.3420718532332447","0.3420718532332447","0.3420718532332447"
"65","1.1905846113937464","1.1905846113937464","1.1905846113937464"
"66","1.1109444716881993","1.1109444716881993","1.1109444716881993"
"67","1.0707304483760112","1.0707304483760112","1.0707304483760112"
"68","1.0507249854561893","1.0507249854561893","1.0507249854561893"
"69","0.97515857591313","0.97515857591313","0.97515857591313"
"70","1.031889691643189","1.031889691643189","1.031889691643189"
"71","1.9394896710182665","1.9394896710182665","1.9394896710182665"
