"Step","half cheetah box weight - valid_returns","half cheetah box weight - valid_returns__MIN","half cheetah box weight - valid_returns__MAX"
"0","52.34111404418945","52.34111404418945","52.34111404418945"
"1","53.783531188964844","53.783531188964844","53.783531188964844"
"2","55.22819519042969","55.22819519042969","55.22819519042969"
"3","58.25554656982422","58.25554656982422","58.25554656982422"
"4","58.890052795410156","58.890052795410156","58.890052795410156"
"5","60.03022766113281","60.03022766113281","60.03022766113281"
"6","63.903106689453125","63.903106689453125","63.903106689453125"
"7","64.6050033569336","64.6050033569336","64.6050033569336"
"8","65.38317108154297","65.38317108154297","65.38317108154297"
"9","67.22611236572266","67.22611236572266","67.22611236572266"
"10","68.0452880859375","68.0452880859375","68.0452880859375"
"11","68.48892211914062","68.48892211914062","68.48892211914062"
"12","72.10348510742188","72.10348510742188","72.10348510742188"
"13","71.08524322509766","71.08524322509766","71.08524322509766"
"14","74.32992553710938","74.32992553710938","74.32992553710938"
"15","74.057861328125","74.057861328125","74.057861328125"
"16","76.70753479003906","76.70753479003906","76.70753479003906"
"17","76.31268310546875","76.31268310546875","76.31268310546875"
"18","78.59679412841797","78.59679412841797","78.59679412841797"
"19","80.42999267578125","80.42999267578125","80.42999267578125"
"20","79.95030975341797","79.95030975341797","79.95030975341797"
"21","80.44319152832031","80.44319152832031","80.44319152832031"
"22","83.39398193359375","83.39398193359375","83.39398193359375"
"23","83.87384796142578","83.87384796142578","83.87384796142578"
"24","81.71493530273438","81.71493530273438","81.71493530273438"
"25","83.18513488769531","83.18513488769531","83.18513488769531"
"26","84.85620880126953","84.85620880126953","84.85620880126953"
"27","85.60759735107422","85.60759735107422","85.60759735107422"
"28","88.55294799804688","88.55294799804688","88.55294799804688"
"29","86.61869812011719","86.61869812011719","86.61869812011719"
"30","89.57361602783203","89.57361602783203","89.57361602783203"
"31","88.25285339355469","88.25285339355469","88.25285339355469"
"32","88.9034194946289","88.9034194946289","88.9034194946289"
"33","88.4753189086914","88.4753189086914","88.4753189086914"
"34","90.4115219116211","90.4115219116211","90.4115219116211"
"35","90.7364273071289","90.7364273071289","90.7364273071289"
"36","90.50945281982422","90.50945281982422","90.50945281982422"
"37","90.9743423461914","90.9743423461914","90.9743423461914"
"38","92.01478576660156","92.01478576660156","92.01478576660156"
"39","93.89434814453125","93.89434814453125","93.89434814453125"
"40","90.05437469482422","90.05437469482422","90.05437469482422"
"41","93.53584289550781","93.53584289550781","93.53584289550781"
"42","94.02228546142578","94.02228546142578","94.02228546142578"
"43","94.09214782714844","94.09214782714844","94.09214782714844"
"44","94.4177017211914","94.4177017211914","94.4177017211914"
"45","94.57648468017578","94.57648468017578","94.57648468017578"
"46","95.05290222167969","95.05290222167969","95.05290222167969"
"47","96.42259979248047","96.42259979248047","96.42259979248047"
"48","96.45861053466797","96.45861053466797","96.45861053466797"
"49","96.70218658447266","96.70218658447266","96.70218658447266"
"50","95.16507720947266","95.16507720947266","95.16507720947266"
"51","96.80471801757812","96.80471801757812","96.80471801757812"
"52","99.09845733642578","99.09845733642578","99.09845733642578"
"53","99.25320434570312","99.25320434570312","99.25320434570312"
"54","98.38232421875","98.38232421875","98.38232421875"
"55","99.99540710449219","99.99540710449219","99.99540710449219"
"56","98.3733139038086","98.3733139038086","98.3733139038086"
"57","98.5663833618164","98.5663833618164","98.5663833618164"
"58","98.94921875","98.94921875","98.94921875"
"59","100.01983642578125","100.01983642578125","100.01983642578125"
"60","101.98347473144531","101.98347473144531","101.98347473144531"
"61","102.02922821044922","102.02922821044922","102.02922821044922"
"62","101.82410430908203","101.82410430908203","101.82410430908203"
"63","101.3840103149414","101.3840103149414","101.3840103149414"
"64","101.98367309570312","101.98367309570312","101.98367309570312"
"65","103.05960083007812","103.05960083007812","103.05960083007812"
"66","102.12115478515625","102.12115478515625","102.12115478515625"
"67","103.42926025390625","103.42926025390625","103.42926025390625"
"68","103.82392883300781","103.82392883300781","103.82392883300781"
"69","104.77102661132812","104.77102661132812","104.77102661132812"
"70","102.87432861328125","102.87432861328125","102.87432861328125"
"71","104.9208984375","104.9208984375","104.9208984375"
"72","104.84648132324219","104.84648132324219","104.84648132324219"
"73","106.48767852783203","106.48767852783203","106.48767852783203"
"74","107.02054595947266","107.02054595947266","107.02054595947266"
"75","107.02993774414062","107.02993774414062","107.02993774414062"
"76","107.39056396484375","107.39056396484375","107.39056396484375"
"77","108.672607421875","108.672607421875","108.672607421875"
"78","108.04641723632812","108.04641723632812","108.04641723632812"
"79","109.10183715820312","109.10183715820312","109.10183715820312"
"80","108.66654205322266","108.66654205322266","108.66654205322266"
"81","108.49305725097656","108.49305725097656","108.49305725097656"
"82","110.22523498535156","110.22523498535156","110.22523498535156"
"83","110.83120727539062","110.83120727539062","110.83120727539062"
"84","110.9362564086914","110.9362564086914","110.9362564086914"
"85","111.08168029785156","111.08168029785156","111.08168029785156"
"86","111.7022476196289","111.7022476196289","111.7022476196289"
"87","111.84257507324219","111.84257507324219","111.84257507324219"
"88","112.85094451904297","112.85094451904297","112.85094451904297"
"89","113.36878967285156","113.36878967285156","113.36878967285156"
"90","113.5859603881836","113.5859603881836","113.5859603881836"
"91","113.18250274658203","113.18250274658203","113.18250274658203"
"92","114.1196060180664","114.1196060180664","114.1196060180664"
"93","114.92227172851562","114.92227172851562","114.92227172851562"
"94","115.64183807373047","115.64183807373047","115.64183807373047"
"95","117.42591857910156","117.42591857910156","117.42591857910156"
"96","117.75411987304688","117.75411987304688","117.75411987304688"
"97","116.78504180908203","116.78504180908203","116.78504180908203"
"98","118.7943344116211","118.7943344116211","118.7943344116211"
"99","118.70285034179688","118.70285034179688","118.70285034179688"
"100","117.73062133789062","117.73062133789062","117.73062133789062"
"101","118.26750183105469","118.26750183105469","118.26750183105469"
"102","119.29644775390625","119.29644775390625","119.29644775390625"
"103","120.05511474609375","120.05511474609375","120.05511474609375"
"104","121.06744384765625","121.06744384765625","121.06744384765625"
"105","122.06539154052734","122.06539154052734","122.06539154052734"
"106","122.14840698242188","122.14840698242188","122.14840698242188"
"107","123.15763854980469","123.15763854980469","123.15763854980469"
"108","123.76309204101562","123.76309204101562","123.76309204101562"
"109","124.13452911376953","124.13452911376953","124.13452911376953"
"110","124.9295883178711","124.9295883178711","124.9295883178711"
"111","125.83753204345703","125.83753204345703","125.83753204345703"
"112","126.47134399414062","126.47134399414062","126.47134399414062"
"113","127.98794555664062","127.98794555664062","127.98794555664062"
"114","126.53722381591797","126.53722381591797","126.53722381591797"
"115","128.23773193359375","128.23773193359375","128.23773193359375"
"116","128.22218322753906","128.22218322753906","128.22218322753906"
"117","128.5784149169922","128.5784149169922","128.5784149169922"
"118","128.95094299316406","128.95094299316406","128.95094299316406"
"119","129.4729461669922","129.4729461669922","129.4729461669922"
"120","130.65907287597656","130.65907287597656","130.65907287597656"
"121","132.28257751464844","132.28257751464844","132.28257751464844"
"122","132.1667938232422","132.1667938232422","132.1667938232422"
"123","133.12954711914062","133.12954711914062","133.12954711914062"
"124","132.1085205078125","132.1085205078125","132.1085205078125"
"125","134.39111328125","134.39111328125","134.39111328125"
"126","134.6156005859375","134.6156005859375","134.6156005859375"
"127","136.15509033203125","136.15509033203125","136.15509033203125"
"128","136.18618774414062","136.18618774414062","136.18618774414062"
"129","136.50283813476562","136.50283813476562","136.50283813476562"
"130","138.02267456054688","138.02267456054688","138.02267456054688"
"131","138.49734497070312","138.49734497070312","138.49734497070312"
"132","139.59962463378906","139.59962463378906","139.59962463378906"
"133","139.5588836669922","139.5588836669922","139.5588836669922"
"134","140.31292724609375","140.31292724609375","140.31292724609375"
"135","140.4442901611328","140.4442901611328","140.4442901611328"
"136","141.2552032470703","141.2552032470703","141.2552032470703"
"137","142.22567749023438","142.22567749023438","142.22567749023438"
