"Step","half cheetah leg weight - valid_returns","half cheetah leg weight - valid_returns__MIN","half cheetah leg weight - valid_returns__MAX"
"134","142.79132080078125","142.79132080078125","142.79132080078125"
"135","143.88021850585938","143.88021850585938","143.88021850585938"
"136","142.9649658203125","142.9649658203125","142.9649658203125"
"137","144.8025360107422","144.8025360107422","144.8025360107422"
"138","144.51211547851562","144.51211547851562","144.51211547851562"
"139","145.32777404785156","145.32777404785156","145.32777404785156"
"140","145.4653778076172","145.4653778076172","145.4653778076172"
"141","145.5020294189453","145.5020294189453","145.5020294189453"
"142","145.8998565673828","145.8998565673828","145.8998565673828"
"143","145.50753784179688","145.50753784179688","145.50753784179688"
"144","148.44357299804688","148.44357299804688","148.44357299804688"
"145","146.58279418945312","146.58279418945312","146.58279418945312"
"146","147.08438110351562","147.08438110351562","147.08438110351562"
"147","147.5705108642578","147.5705108642578","147.5705108642578"
"148","147.7095184326172","147.7095184326172","147.7095184326172"
"149","147.7500457763672","147.7500457763672","147.7500457763672"
"150","148.30352783203125","148.30352783203125","148.30352783203125"
"151","149.0756072998047","149.0756072998047","149.0756072998047"
"152","149.8921356201172","149.8921356201172","149.8921356201172"
"153","150.05726623535156","150.05726623535156","150.05726623535156"
"154","149.75624084472656","149.75624084472656","149.75624084472656"
"155","150.78485107421875","150.78485107421875","150.78485107421875"
"156","149.896240234375","149.896240234375","149.896240234375"
"157","152.43649291992188","152.43649291992188","152.43649291992188"
"158","151.2513427734375","151.2513427734375","151.2513427734375"
"159","151.2611083984375","151.2611083984375","151.2611083984375"
"160","152.21556091308594","152.21556091308594","152.21556091308594"
"161","152.28868103027344","152.28868103027344","152.28868103027344"
"162","151.62588500976562","151.62588500976562","151.62588500976562"
"163","152.29660034179688","152.29660034179688","152.29660034179688"
"164","151.99978637695312","151.99978637695312","151.99978637695312"
"165","153.7394561767578","153.7394561767578","153.7394561767578"
"166","152.83677673339844","152.83677673339844","152.83677673339844"
"167","152.65017700195312","152.65017700195312","152.65017700195312"
"168","153.41127014160156","153.41127014160156","153.41127014160156"
"169","153.77513122558594","153.77513122558594","153.77513122558594"
"170","154.19393920898438","154.19393920898438","154.19393920898438"
"171","155.5317840576172","155.5317840576172","155.5317840576172"
"172","154.5107879638672","154.5107879638672","154.5107879638672"
"173","154.71377563476562","154.71377563476562","154.71377563476562"
"174","155.2979736328125","155.2979736328125","155.2979736328125"
"175","156.2924346923828","156.2924346923828","156.2924346923828"
"176","154.53497314453125","154.53497314453125","154.53497314453125"
"177","155.6394500732422","155.6394500732422","155.6394500732422"
"178","156.0426025390625","156.0426025390625","156.0426025390625"
"179","155.8700408935547","155.8700408935547","155.8700408935547"
"180","156.94961547851562","156.94961547851562","156.94961547851562"
"181","157.04864501953125","157.04864501953125","157.04864501953125"
"182","157.36354064941406","157.36354064941406","157.36354064941406"
"183","157.85130310058594","157.85130310058594","157.85130310058594"
"184","156.8826141357422","156.8826141357422","156.8826141357422"
"185","156.58526611328125","156.58526611328125","156.58526611328125"
"186","157.74806213378906","157.74806213378906","157.74806213378906"
"187","157.62417602539062","157.62417602539062","157.62417602539062"
"188","157.57373046875","157.57373046875","157.57373046875"
"189","157.69432067871094","157.69432067871094","157.69432067871094"
"190","158.3489227294922","158.3489227294922","158.3489227294922"
"191","158.82420349121094","158.82420349121094","158.82420349121094"
"192","158.4658203125","158.4658203125","158.4658203125"
"193","159.33863830566406","159.33863830566406","159.33863830566406"
"194","158.7301788330078","158.7301788330078","158.7301788330078"
"195","159.79119873046875","159.79119873046875","159.79119873046875"
"196","159.20989990234375","159.20989990234375","159.20989990234375"
"197","159.78231811523438","159.78231811523438","159.78231811523438"
"198","160.74432373046875","160.74432373046875","160.74432373046875"
"199","160.7587127685547","160.7587127685547","160.7587127685547"
"200","160.530029296875","160.530029296875","160.530029296875"
"201","161.48663330078125","161.48663330078125","161.48663330078125"
"202","160.66104125976562","160.66104125976562","160.66104125976562"
"203","160.3905792236328","160.3905792236328","160.3905792236328"
"204","161.5518798828125","161.5518798828125","161.5518798828125"
"205","161.69725036621094","161.69725036621094","161.69725036621094"
"206","161.6824188232422","161.6824188232422","161.6824188232422"
"207","161.00326538085938","161.00326538085938","161.00326538085938"
"208","161.5973663330078","161.5973663330078","161.5973663330078"
"209","162.44602966308594","162.44602966308594","162.44602966308594"
"210","161.89773559570312","161.89773559570312","161.89773559570312"
"211","162.96163940429688","162.96163940429688","162.96163940429688"
"212","162.28384399414062","162.28384399414062","162.28384399414062"
"213","163.75970458984375","163.75970458984375","163.75970458984375"
"214","163.4014129638672","163.4014129638672","163.4014129638672"
"215","163.15887451171875","163.15887451171875","163.15887451171875"
"216","163.11639404296875","163.11639404296875","163.11639404296875"
"217","163.3851318359375","163.3851318359375","163.3851318359375"
"218","163.2947540283203","163.2947540283203","163.2947540283203"
"219","164","164","164"
"220","163.7484130859375","163.7484130859375","163.7484130859375"
"221","163.48951721191406","163.48951721191406","163.48951721191406"
"222","164.6870574951172","164.6870574951172","164.6870574951172"
"223","164.8336944580078","164.8336944580078","164.8336944580078"
"224","164.5535125732422","164.5535125732422","164.5535125732422"
"225","163.7716522216797","163.7716522216797","163.7716522216797"
"226","164.3673095703125","164.3673095703125","164.3673095703125"
"227","163.69676208496094","163.69676208496094","163.69676208496094"
"228","164.1118927001953","164.1118927001953","164.1118927001953"
"229","164.83673095703125","164.83673095703125","164.83673095703125"
"230","164.72125244140625","164.72125244140625","164.72125244140625"
"231","164.93820190429688","164.93820190429688","164.93820190429688"
"232","165.04541015625","165.04541015625","165.04541015625"
"233","165.8524627685547","165.8524627685547","165.8524627685547"
"234","165.54945373535156","165.54945373535156","165.54945373535156"
"235","165.65570068359375","165.65570068359375","165.65570068359375"
"236","166.27491760253906","166.27491760253906","166.27491760253906"
"237","164.8282470703125","164.8282470703125","164.8282470703125"
"238","165.6007843017578","165.6007843017578","165.6007843017578"
"239","166.61546325683594","166.61546325683594","166.61546325683594"
"240","166.27301025390625","166.27301025390625","166.27301025390625"
"241","166.05587768554688","166.05587768554688","166.05587768554688"
"242","167.0424346923828","167.0424346923828","167.0424346923828"
"243","166.2891845703125","166.2891845703125","166.2891845703125"
"244","166.3045654296875","166.3045654296875","166.3045654296875"
"245","166.5928192138672","166.5928192138672","166.5928192138672"
"246","166.58421325683594","166.58421325683594","166.58421325683594"
"247","165.9515380859375","165.9515380859375","165.9515380859375"
"248","167.44972229003906","167.44972229003906","167.44972229003906"
"249","167.2505340576172","167.2505340576172","167.2505340576172"
"250","167.17904663085938","167.17904663085938","167.17904663085938"
"251","166.95912170410156","166.95912170410156","166.95912170410156"
"252","167.39222717285156","167.39222717285156","167.39222717285156"
"253","166.78480529785156","166.78480529785156","166.78480529785156"
"254","167.72970581054688","167.72970581054688","167.72970581054688"
"255","167.86123657226562","167.86123657226562","167.86123657226562"
"256","168.4638214111328","168.4638214111328","168.4638214111328"
"257","168.56903076171875","168.56903076171875","168.56903076171875"
"258","168.56956481933594","168.56956481933594","168.56956481933594"
"259","167.65646362304688","167.65646362304688","167.65646362304688"
"260","168.54031372070312","168.54031372070312","168.54031372070312"
"261","168.78201293945312","168.78201293945312","168.78201293945312"
"262","168.69259643554688","168.69259643554688","168.69259643554688"
"263","168.15411376953125","168.15411376953125","168.15411376953125"
"264","169.2540283203125","169.2540283203125","169.2540283203125"
"265","169.47874450683594","169.47874450683594","169.47874450683594"
"266","169.69012451171875","169.69012451171875","169.69012451171875"
"267","168.8194122314453","168.8194122314453","168.8194122314453"
"268","169.84080505371094","169.84080505371094","169.84080505371094"
"269","168.60267639160156","168.60267639160156","168.60267639160156"
"270","169.22933959960938","169.22933959960938","169.22933959960938"
"271","169.75823974609375","169.75823974609375","169.75823974609375"
"272","169.01156616210938","169.01156616210938","169.01156616210938"
"273","170.19406127929688","170.19406127929688","170.19406127929688"
"274","169.07769775390625","169.07769775390625","169.07769775390625"
"275","170.0215606689453","170.0215606689453","170.0215606689453"
"276","169.9471435546875","169.9471435546875","169.9471435546875"
"277","169.75375366210938","169.75375366210938","169.75375366210938"
"278","169.92747497558594","169.92747497558594","169.92747497558594"
"279","169.99925231933594","169.99925231933594","169.99925231933594"
"280","169.91969299316406","169.91969299316406","169.91969299316406"
"281","170.97047424316406","170.97047424316406","170.97047424316406"
"282","169.72189331054688","169.72189331054688","169.72189331054688"
"283","170.41574096679688","170.41574096679688","170.41574096679688"
"284","169.87548828125","169.87548828125","169.87548828125"
"285","170.48150634765625","170.48150634765625","170.48150634765625"
"286","170.73973083496094","170.73973083496094","170.73973083496094"
"287","171.02857971191406","171.02857971191406","171.02857971191406"
"288","171.72323608398438","171.72323608398438","171.72323608398438"
"289","171.25071716308594","171.25071716308594","171.25071716308594"
"290","171.26870727539062","171.26870727539062","171.26870727539062"
"291","170.7886962890625","170.7886962890625","170.7886962890625"
"292","171.3237762451172","171.3237762451172","171.3237762451172"
"293","171.35182189941406","171.35182189941406","171.35182189941406"
"294","170.99742126464844","170.99742126464844","170.99742126464844"
"295","171.24880981445312","171.24880981445312","171.24880981445312"
"296","172.23219299316406","172.23219299316406","172.23219299316406"
"297","171.4871063232422","171.4871063232422","171.4871063232422"
"298","172.19287109375","172.19287109375","172.19287109375"
"299","171.810546875","171.810546875","171.810546875"
"300","172.38644409179688","172.38644409179688","172.38644409179688"
"301","171.48562622070312","171.48562622070312","171.48562622070312"
"302","171.1756591796875","171.1756591796875","171.1756591796875"
"303","172.51234436035156","172.51234436035156","172.51234436035156"
"304","171.77105712890625","171.77105712890625","171.77105712890625"
"305","172.6846923828125","172.6846923828125","172.6846923828125"
"306","173.0116424560547","173.0116424560547","173.0116424560547"
"307","172.01617431640625","172.01617431640625","172.01617431640625"
"308","172.65367126464844","172.65367126464844","172.65367126464844"
"309","172.01390075683594","172.01390075683594","172.01390075683594"
"310","172.51612854003906","172.51612854003906","172.51612854003906"
"311","171.91371154785156","171.91371154785156","171.91371154785156"
"312","171.85235595703125","171.85235595703125","171.85235595703125"
"313","173.44554138183594","173.44554138183594","173.44554138183594"
"314","172.92601013183594","172.92601013183594","172.92601013183594"
"315","173.14926147460938","173.14926147460938","173.14926147460938"
"316","173.1020050048828","173.1020050048828","173.1020050048828"
"317","171.9727783203125","171.9727783203125","171.9727783203125"
"318","173.18226623535156","173.18226623535156","173.18226623535156"
"319","173.45046997070312","173.45046997070312","173.45046997070312"
"320","173.71995544433594","173.71995544433594","173.71995544433594"
"321","173.71490478515625","173.71490478515625","173.71490478515625"
"322","173.20042419433594","173.20042419433594","173.20042419433594"
"323","173.11082458496094","173.11082458496094","173.11082458496094"
"324","173.1803741455078","173.1803741455078","173.1803741455078"
"325","173.6226348876953","173.6226348876953","173.6226348876953"
"326","172.96022033691406","172.96022033691406","172.96022033691406"
"327","174.25535583496094","174.25535583496094","174.25535583496094"
"328","173.6221466064453","173.6221466064453","173.6221466064453"
"329","174.13734436035156","174.13734436035156","174.13734436035156"
"330","174.8749542236328","174.8749542236328","174.8749542236328"
"331","173.74546813964844","173.74546813964844","173.74546813964844"
"332","174.9562530517578","174.9562530517578","174.9562530517578"
"333","173.75245666503906","173.75245666503906","173.75245666503906"
"334","173.9919891357422","173.9919891357422","173.9919891357422"
"335","173.74298095703125","173.74298095703125","173.74298095703125"
"336","174.55894470214844","174.55894470214844","174.55894470214844"
"337","175.1484375","175.1484375","175.1484375"
"338","174.4744873046875","174.4744873046875","174.4744873046875"
"339","174.23468017578125","174.23468017578125","174.23468017578125"
"340","174.97836303710938","174.97836303710938","174.97836303710938"
"341","174.34976196289062","174.34976196289062","174.34976196289062"
"342","174.8781280517578","174.8781280517578","174.8781280517578"
"343","174.71542358398438","174.71542358398438","174.71542358398438"
"344","174.74269104003906","174.74269104003906","174.74269104003906"
"345","175.28897094726562","175.28897094726562","175.28897094726562"
"346","175.6160125732422","175.6160125732422","175.6160125732422"
"347","174.8603057861328","174.8603057861328","174.8603057861328"
"348","174.98753356933594","174.98753356933594","174.98753356933594"
"349","175.92457580566406","175.92457580566406","175.92457580566406"
"350","174.9257354736328","174.9257354736328","174.9257354736328"
"351","175.13429260253906","175.13429260253906","175.13429260253906"
"352","176.16839599609375","176.16839599609375","176.16839599609375"
"353","175.30287170410156","175.30287170410156","175.30287170410156"
"354","175.6757049560547","175.6757049560547","175.6757049560547"
"355","176.07289123535156","176.07289123535156","176.07289123535156"
"356","175.80238342285156","175.80238342285156","175.80238342285156"
"357","176.86651611328125","176.86651611328125","176.86651611328125"
"358","175.89019775390625","175.89019775390625","175.89019775390625"
"359","175.7920379638672","175.7920379638672","175.7920379638672"
"360","175.99371337890625","175.99371337890625","175.99371337890625"
"361","176.5469207763672","176.5469207763672","176.5469207763672"
"362","176.7715606689453","176.7715606689453","176.7715606689453"
"363","175.9169158935547","175.9169158935547","175.9169158935547"
"364","176.2510528564453","176.2510528564453","176.2510528564453"
"365","176.64752197265625","176.64752197265625","176.64752197265625"
"366","177.04029846191406","177.04029846191406","177.04029846191406"
"367","176.22731018066406","176.22731018066406","176.22731018066406"
"368","177.06802368164062","177.06802368164062","177.06802368164062"
"369","176.25054931640625","176.25054931640625","176.25054931640625"
"370","177.12533569335938","177.12533569335938","177.12533569335938"
"371","176.42745971679688","176.42745971679688","176.42745971679688"
