"Step","ctrl_cost 0.5 ant leg weight 1 - valid_returns","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MAX"
"60","-31.198591232299805","-31.198591232299805","-31.198591232299805"
"61","-32.725563049316406","-32.725563049316406","-32.725563049316406"
"62","-28.958589553833008","-28.958589553833008","-28.958589553833008"
"63","-31.121871948242188","-31.121871948242188","-31.121871948242188"
"64","-30.67974853515625","-30.67974853515625","-30.67974853515625"
"65","-30.727514266967773","-30.727514266967773","-30.727514266967773"
"66","-31.674053192138672","-31.674053192138672","-31.674053192138672"
"67","-27.603382110595703","-27.603382110595703","-27.603382110595703"
"68","-32.34181213378906","-32.34181213378906","-32.34181213378906"
"69","-29.504907608032227","-29.504907608032227","-29.504907608032227"
"70","-29.66210174560547","-29.66210174560547","-29.66210174560547"
"71","-29.307079315185547","-29.307079315185547","-29.307079315185547"
"72","-29.573890686035156","-29.573890686035156","-29.573890686035156"
"73","-28.923690795898438","-28.923690795898438","-28.923690795898438"
"74","-29.535932540893555","-29.535932540893555","-29.535932540893555"
"75","-29.763938903808594","-29.763938903808594","-29.763938903808594"
"76","-27.796768188476562","-27.796768188476562","-27.796768188476562"
"77","-26.576997756958008","-26.576997756958008","-26.576997756958008"
"78","-27.084169387817383","-27.084169387817383","-27.084169387817383"
"79","-26.266523361206055","-26.266523361206055","-26.266523361206055"
"80","-26.10063934326172","-26.10063934326172","-26.10063934326172"
"81","-26.2296199798584","-26.2296199798584","-26.2296199798584"
"82","-26.40579605102539","-26.40579605102539","-26.40579605102539"
"83","-25.671728134155273","-25.671728134155273","-25.671728134155273"
"84","-26.15640640258789","-26.15640640258789","-26.15640640258789"
"85","-26.1260929107666","-26.1260929107666","-26.1260929107666"
"86","-25.818471908569336","-25.818471908569336","-25.818471908569336"
"87","-26.96630096435547","-26.96630096435547","-26.96630096435547"
"88","-25.45966339111328","-25.45966339111328","-25.45966339111328"
"89","-26.147539138793945","-26.147539138793945","-26.147539138793945"
"90","-24.193403244018555","-24.193403244018555","-24.193403244018555"
"91","-24.798633575439453","-24.798633575439453","-24.798633575439453"
"92","-25.138813018798828","-25.138813018798828","-25.138813018798828"
"93","-24.910690307617188","-24.910690307617188","-24.910690307617188"
"94","-24.8841552734375","-24.8841552734375","-24.8841552734375"
"95","-24.759380340576172","-24.759380340576172","-24.759380340576172"
"96","-26.078683853149414","-26.078683853149414","-26.078683853149414"
"97","-25.138368606567383","-25.138368606567383","-25.138368606567383"
"98","-25.43720245361328","-25.43720245361328","-25.43720245361328"
"99","-22.643022537231445","-22.643022537231445","-22.643022537231445"
"100","-22.439228057861328","-22.439228057861328","-22.439228057861328"
"101","-22.862197875976562","-22.862197875976562","-22.862197875976562"
"102","-23.795785903930664","-23.795785903930664","-23.795785903930664"
"103","-22.101524353027344","-22.101524353027344","-22.101524353027344"
"104","-22.971942901611328","-22.971942901611328","-22.971942901611328"
"105","-23.325353622436523","-23.325353622436523","-23.325353622436523"
"106","-22.485641479492188","-22.485641479492188","-22.485641479492188"
"107","-22.67304039001465","-22.67304039001465","-22.67304039001465"
"108","-22.497953414916992","-22.497953414916992","-22.497953414916992"
"109","-22.720687866210938","-22.720687866210938","-22.720687866210938"
"110","-21.74124526977539","-21.74124526977539","-21.74124526977539"
"111","-21.483936309814453","-21.483936309814453","-21.483936309814453"
"112","-22.630170822143555","-22.630170822143555","-22.630170822143555"
"113","-21.550464630126953","-21.550464630126953","-21.550464630126953"
"114","-21.804485321044922","-21.804485321044922","-21.804485321044922"
"115","-21.328393936157227","-21.328393936157227","-21.328393936157227"
"116","-20.961748123168945","-20.961748123168945","-20.961748123168945"
"117","-21.472793579101562","-21.472793579101562","-21.472793579101562"
"118","-21.14264678955078","-21.14264678955078","-21.14264678955078"
"119","-20.496397018432617","-20.496397018432617","-20.496397018432617"
"120","-21.37472152709961","-21.37472152709961","-21.37472152709961"
"121","-20.350481033325195","-20.350481033325195","-20.350481033325195"
"122","-20.384672164916992","-20.384672164916992","-20.384672164916992"
"123","-21.52729034423828","-21.52729034423828","-21.52729034423828"
"124","-20.455869674682617","-20.455869674682617","-20.455869674682617"
"125","-21.633588790893555","-21.633588790893555","-21.633588790893555"
"126","-21.6947078704834","-21.6947078704834","-21.6947078704834"
"127","-19.67091941833496","-19.67091941833496","-19.67091941833496"
"128","-19.861835479736328","-19.861835479736328","-19.861835479736328"
"129","-20.43214988708496","-20.43214988708496","-20.43214988708496"
"130","-20.744396209716797","-20.744396209716797","-20.744396209716797"
"131","-19.77196502685547","-19.77196502685547","-19.77196502685547"
"132","-19.441160202026367","-19.441160202026367","-19.441160202026367"
"133","-19.710010528564453","-19.710010528564453","-19.710010528564453"
"134","-18.777605056762695","-18.777605056762695","-18.777605056762695"
"135","-19.289289474487305","-19.289289474487305","-19.289289474487305"
"136","-19.358030319213867","-19.358030319213867","-19.358030319213867"
