"Step","half cheetah box weight - x_diff","half cheetah box weight - x_diff__MIN","half cheetah box weight - x_diff__MAX"
"0","-0.07110985235725266","-0.07110985235725266","-0.07110985235725266"
"1","-0.054985442947896535","-0.054985442947896535","-0.054985442947896535"
"2","0.9622269811045354","0.9622269811045354","0.9622269811045354"
"3","1.4084370402152275","1.4084370402152275","1.4084370402152275"
"4","0.688067241936975","0.688067241936975","0.688067241936975"
"5","-0.09909746057752974","-0.09909746057752974","-0.09909746057752974"
"6","0.43851186764648226","0.43851186764648226","0.43851186764648226"
"7","0.5223824176708269","0.5223824176708269","0.5223824176708269"
"8","-0.11192580302686964","-0.11192580302686964","-0.11192580302686964"
"9","0.03785993630434827","0.03785993630434827","0.03785993630434827"
"10","0.04429984674289044","0.04429984674289044","0.04429984674289044"
"11","-0.2658182520707032","-0.2658182520707032","-0.2658182520707032"
"12","1.4667629953731953","1.4667629953731953","1.4667629953731953"
"13","0.816270913936029","0.816270913936029","0.816270913936029"
"14","0.8788750423365386","0.8788750423365386","0.8788750423365386"
"15","1.1786388493257733","1.1786388493257733","1.1786388493257733"
"16","0.161371013079782","0.161371013079782","0.161371013079782"
"17","1.8372388980367338","1.8372388980367338","1.8372388980367338"
"18","1.7422367953817939","1.7422367953817939","1.7422367953817939"
"19","1.4101244498769634","1.4101244498769634","1.4101244498769634"
"20","1.0653522830539652","1.0653522830539652","1.0653522830539652"
"21","0.32606038334443277","0.32606038334443277","0.32606038334443277"
"22","1.5070377758217692","1.5070377758217692","1.5070377758217692"
"23","0.19057183207635756","0.19057183207635756","0.19057183207635756"
"24","0.2259558779984156","0.2259558779984156","0.2259558779984156"
"25","1.4570054198912443","1.4570054198912443","1.4570054198912443"
"26","0.9904055932749177","0.9904055932749177","0.9904055932749177"
"27","0.599626610474891","0.599626610474891","0.599626610474891"
"28","0.6892600126581838","0.6892600126581838","0.6892600126581838"
"29","0.8879888106844579","0.8879888106844579","0.8879888106844579"
"30","0.005489501676101186","0.005489501676101186","0.005489501676101186"
"31","3.2234599111123563","3.2234599111123563","3.2234599111123563"
"32","1.0004254263502832","1.0004254263502832","1.0004254263502832"
"33","1.293310012987413","1.293310012987413","1.293310012987413"
"34","0.4801356801405331","0.4801356801405331","0.4801356801405331"
"35","2.469699375702615","2.469699375702615","2.469699375702615"
"36","1.9135076020901691","1.9135076020901691","1.9135076020901691"
"37","-0.04159710141784032","-0.04159710141784032","-0.04159710141784032"
"38","1.956741742953813","1.956741742953813","1.956741742953813"
"39","1.3609452809178677","1.3609452809178677","1.3609452809178677"
"40","0.45644418277071946","0.45644418277071946","0.45644418277071946"
"41","0.8536111716263813","0.8536111716263813","0.8536111716263813"
"42","2.0699122780249324","2.0699122780249324","2.0699122780249324"
"43","0.17690318240404257","0.17690318240404257","0.17690318240404257"
"44","2.90372245201507","2.90372245201507","2.90372245201507"
