"Step","ctrl_cost 0.5 ant box weight 1 - valid_returns","ctrl_cost 0.5 ant box weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant box weight 1 - valid_returns__MAX"
"79","-168.02183532714844","-168.02183532714844","-168.02183532714844"
"80","-167.6721649169922","-167.6721649169922","-167.6721649169922"
"81","-164.43284606933594","-164.43284606933594","-164.43284606933594"
"82","-168.7010498046875","-168.7010498046875","-168.7010498046875"
"83","-167.73764038085938","-167.73764038085938","-167.73764038085938"
"84","-168.60128784179688","-168.60128784179688","-168.60128784179688"
"85","-169.20138549804688","-169.20138549804688","-169.20138549804688"
"86","-169.06182861328125","-169.06182861328125","-169.06182861328125"
"87","-168.27273559570312","-168.27273559570312","-168.27273559570312"
"88","-168.37576293945312","-168.37576293945312","-168.37576293945312"
"89","-166.20359802246094","-166.20359802246094","-166.20359802246094"
"90","-166.98387145996094","-166.98387145996094","-166.98387145996094"
"91","-169.17977905273438","-169.17977905273438","-169.17977905273438"
"92","-167.10777282714844","-167.10777282714844","-167.10777282714844"
"93","-166.41575622558594","-166.41575622558594","-166.41575622558594"
"94","-167.69265747070312","-167.69265747070312","-167.69265747070312"
"95","-165.6689453125","-165.6689453125","-165.6689453125"
"96","-165.7354278564453","-165.7354278564453","-165.7354278564453"
"97","-168.07977294921875","-168.07977294921875","-168.07977294921875"
"98","-164.75144958496094","-164.75144958496094","-164.75144958496094"
"99","-165.98715209960938","-165.98715209960938","-165.98715209960938"
"100","-165.6282196044922","-165.6282196044922","-165.6282196044922"
"101","-165.71421813964844","-165.71421813964844","-165.71421813964844"
"102","-167.7138671875","-167.7138671875","-167.7138671875"
"103","-167.7119140625","-167.7119140625","-167.7119140625"
"104","-167.22242736816406","-167.22242736816406","-167.22242736816406"
"105","-165.2939910888672","-165.2939910888672","-165.2939910888672"
"106","-166.03265380859375","-166.03265380859375","-166.03265380859375"
"107","-164.84327697753906","-164.84327697753906","-164.84327697753906"
"108","-166.92129516601562","-166.92129516601562","-166.92129516601562"
"109","-165.54917907714844","-165.54917907714844","-165.54917907714844"
"110","-164.38092041015625","-164.38092041015625","-164.38092041015625"
"111","-167.18882751464844","-167.18882751464844","-167.18882751464844"
"112","-164.25535583496094","-164.25535583496094","-164.25535583496094"
"113","-166.83421325683594","-166.83421325683594","-166.83421325683594"
"114","-163.79566955566406","-163.79566955566406","-163.79566955566406"
"115","-167.68812561035156","-167.68812561035156","-167.68812561035156"
"116","-168.72640991210938","-168.72640991210938","-168.72640991210938"
"117","-165.83175659179688","-165.83175659179688","-165.83175659179688"
"118","-164.74978637695312","-164.74978637695312","-164.74978637695312"
"119","-164.6001739501953","-164.6001739501953","-164.6001739501953"
"120","-167.2118377685547","-167.2118377685547","-167.2118377685547"
"121","-165.16175842285156","-165.16175842285156","-165.16175842285156"
"122","-166.2941436767578","-166.2941436767578","-166.2941436767578"
"123","-162.5283966064453","-162.5283966064453","-162.5283966064453"
"124","-164.00253295898438","-164.00253295898438","-164.00253295898438"
"125","-164.13201904296875","-164.13201904296875","-164.13201904296875"
"126","-165.15164184570312","-165.15164184570312","-165.15164184570312"
"127","-165.51409912109375","-165.51409912109375","-165.51409912109375"
"128","-164.86395263671875","-164.86395263671875","-164.86395263671875"
"129","-166.5440673828125","-166.5440673828125","-166.5440673828125"
"130","-163.8343963623047","-163.8343963623047","-163.8343963623047"
"131","-164.77198791503906","-164.77198791503906","-164.77198791503906"
"132","-163.97503662109375","-163.97503662109375","-163.97503662109375"
"133","-164.3438720703125","-164.3438720703125","-164.3438720703125"
"134","-164.4880828857422","-164.4880828857422","-164.4880828857422"
"135","-159.7647247314453","-159.7647247314453","-159.7647247314453"
"136","-165.66539001464844","-165.66539001464844","-165.66539001464844"
"137","-163.63722229003906","-163.63722229003906","-163.63722229003906"
"138","-162.72607421875","-162.72607421875","-162.72607421875"
"139","-162.3787078857422","-162.3787078857422","-162.3787078857422"
"140","-162.11001586914062","-162.11001586914062","-162.11001586914062"
"141","-161.5874481201172","-161.5874481201172","-161.5874481201172"
"142","-163.00790405273438","-163.00790405273438","-163.00790405273438"
"143","-163.90269470214844","-163.90269470214844","-163.90269470214844"
"144","-161.63165283203125","-161.63165283203125","-161.63165283203125"
"145","-159.6487274169922","-159.6487274169922","-159.6487274169922"
"146","-163.7606964111328","-163.7606964111328","-163.7606964111328"
"147","-163.25921630859375","-163.25921630859375","-163.25921630859375"
"148","-161.36724853515625","-161.36724853515625","-161.36724853515625"
"149","-161.1952667236328","-161.1952667236328","-161.1952667236328"
"150","-162.16958618164062","-162.16958618164062","-162.16958618164062"
"151","-162.88690185546875","-162.88690185546875","-162.88690185546875"
"152","-161.6576690673828","-161.6576690673828","-161.6576690673828"
"153","-160.5199432373047","-160.5199432373047","-160.5199432373047"
"154","-157.92347717285156","-157.92347717285156","-157.92347717285156"
"155","-161.10922241210938","-161.10922241210938","-161.10922241210938"
"156","-161.44216918945312","-161.44216918945312","-161.44216918945312"
"157","-160.3842315673828","-160.3842315673828","-160.3842315673828"
"158","-159.96287536621094","-159.96287536621094","-159.96287536621094"
"159","-160.3561553955078","-160.3561553955078","-160.3561553955078"
"160","-160.61016845703125","-160.61016845703125","-160.61016845703125"
"161","-159.96380615234375","-159.96380615234375","-159.96380615234375"
"162","-160.46240234375","-160.46240234375","-160.46240234375"
"163","-158.11253356933594","-158.11253356933594","-158.11253356933594"
"164","-158.58035278320312","-158.58035278320312","-158.58035278320312"
"165","-158.6351318359375","-158.6351318359375","-158.6351318359375"
"166","-159.0175018310547","-159.0175018310547","-159.0175018310547"
"167","-160.82008361816406","-160.82008361816406","-160.82008361816406"
"168","-160.06759643554688","-160.06759643554688","-160.06759643554688"
"169","-158.22483825683594","-158.22483825683594","-158.22483825683594"
"170","-158.15582275390625","-158.15582275390625","-158.15582275390625"
"171","-158.3552703857422","-158.3552703857422","-158.3552703857422"
"172","-157.89901733398438","-157.89901733398438","-157.89901733398438"
"173","-158.0778350830078","-158.0778350830078","-158.0778350830078"
"174","-156.73858642578125","-156.73858642578125","-156.73858642578125"
"175","-155.97344970703125","-155.97344970703125","-155.97344970703125"
"176","-159.99383544921875","-159.99383544921875","-159.99383544921875"
"177","-157.53883361816406","-157.53883361816406","-157.53883361816406"
"178","-153.99618530273438","-153.99618530273438","-153.99618530273438"
"179","-157.4778289794922","-157.4778289794922","-157.4778289794922"
"180","-156.95840454101562","-156.95840454101562","-156.95840454101562"
"181","-156.48867797851562","-156.48867797851562","-156.48867797851562"
"182","-156.74391174316406","-156.74391174316406","-156.74391174316406"
"183","-153.46636962890625","-153.46636962890625","-153.46636962890625"
"184","-154.7677459716797","-154.7677459716797","-154.7677459716797"
"185","-155.80067443847656","-155.80067443847656","-155.80067443847656"
"186","-152.7429656982422","-152.7429656982422","-152.7429656982422"
"187","-154.88812255859375","-154.88812255859375","-154.88812255859375"
"188","-155.7456512451172","-155.7456512451172","-155.7456512451172"
"189","-153.6955108642578","-153.6955108642578","-153.6955108642578"
"190","-154.8927001953125","-154.8927001953125","-154.8927001953125"
"191","-154.7735137939453","-154.7735137939453","-154.7735137939453"
"192","-155.60177612304688","-155.60177612304688","-155.60177612304688"
"193","-156.14910888671875","-156.14910888671875","-156.14910888671875"
"194","-153.69140625","-153.69140625","-153.69140625"
"195","-155.9757843017578","-155.9757843017578","-155.9757843017578"
"196","-155.85238647460938","-155.85238647460938","-155.85238647460938"
"197","-156.92433166503906","-156.92433166503906","-156.92433166503906"
"198","-155.08966064453125","-155.08966064453125","-155.08966064453125"
"199","-155.57974243164062","-155.57974243164062","-155.57974243164062"
"200","-155.66845703125","-155.66845703125","-155.66845703125"
"201","-155.34750366210938","-155.34750366210938","-155.34750366210938"
"202","-153.7954864501953","-153.7954864501953","-153.7954864501953"
"203","-155.87351989746094","-155.87351989746094","-155.87351989746094"
"204","-152.47796630859375","-152.47796630859375","-152.47796630859375"
"205","-155.1984405517578","-155.1984405517578","-155.1984405517578"
"206","-153.7548828125","-153.7548828125","-153.7548828125"
"207","-153.5240478515625","-153.5240478515625","-153.5240478515625"
"208","-152.2777557373047","-152.2777557373047","-152.2777557373047"
"209","-154.24789428710938","-154.24789428710938","-154.24789428710938"
"210","-152.2259521484375","-152.2259521484375","-152.2259521484375"
"211","-153.85060119628906","-153.85060119628906","-153.85060119628906"
"212","-152.1884307861328","-152.1884307861328","-152.1884307861328"
"213","-155.3690948486328","-155.3690948486328","-155.3690948486328"
"214","-156.5172882080078","-156.5172882080078","-156.5172882080078"
"215","-151.64141845703125","-151.64141845703125","-151.64141845703125"
"216","-152.9327850341797","-152.9327850341797","-152.9327850341797"
"217","-149.77699279785156","-149.77699279785156","-149.77699279785156"
"218","-150.74337768554688","-150.74337768554688","-150.74337768554688"
"219","-150.57705688476562","-150.57705688476562","-150.57705688476562"
"220","-149.0572509765625","-149.0572509765625","-149.0572509765625"
"221","-150.1675567626953","-150.1675567626953","-150.1675567626953"
"222","-150.25335693359375","-150.25335693359375","-150.25335693359375"
"223","-151.3436279296875","-151.3436279296875","-151.3436279296875"
"224","-148.2900390625","-148.2900390625","-148.2900390625"
"225","-150.9268798828125","-150.9268798828125","-150.9268798828125"
"226","-150.82046508789062","-150.82046508789062","-150.82046508789062"
"227","-149.44361877441406","-149.44361877441406","-149.44361877441406"
"228","-148.25717163085938","-148.25717163085938","-148.25717163085938"
"229","-148.8718719482422","-148.8718719482422","-148.8718719482422"
"230","-150.85487365722656","-150.85487365722656","-150.85487365722656"
"231","-146.39697265625","-146.39697265625","-146.39697265625"
"232","-150.02027893066406","-150.02027893066406","-150.02027893066406"
"233","-149.35601806640625","-149.35601806640625","-149.35601806640625"
"234","-150.5759735107422","-150.5759735107422","-150.5759735107422"
"235","-149.4384307861328","-149.4384307861328","-149.4384307861328"
"236","-149.12799072265625","-149.12799072265625","-149.12799072265625"
"237","-148.37591552734375","-148.37591552734375","-148.37591552734375"
"238","-150.14654541015625","-150.14654541015625","-150.14654541015625"
"239","-149.0733184814453","-149.0733184814453","-149.0733184814453"
"240","-146.07635498046875","-146.07635498046875","-146.07635498046875"
"241","-147.2765655517578","-147.2765655517578","-147.2765655517578"
"242","-149.27174377441406","-149.27174377441406","-149.27174377441406"
"243","-148.02374267578125","-148.02374267578125","-148.02374267578125"
"244","-147.01463317871094","-147.01463317871094","-147.01463317871094"
"245","-145.78538513183594","-145.78538513183594","-145.78538513183594"
"246","-147.7773895263672","-147.7773895263672","-147.7773895263672"
"247","-144.91844177246094","-144.91844177246094","-144.91844177246094"
"248","-143.18310546875","-143.18310546875","-143.18310546875"
"249","-149.141357421875","-149.141357421875","-149.141357421875"
"250","-145.60328674316406","-145.60328674316406","-145.60328674316406"
"251","-147.33340454101562","-147.33340454101562","-147.33340454101562"
"252","-147.19210815429688","-147.19210815429688","-147.19210815429688"
"253","-143.71022033691406","-143.71022033691406","-143.71022033691406"
"254","-144.0355224609375","-144.0355224609375","-144.0355224609375"
"255","-145.9550018310547","-145.9550018310547","-145.9550018310547"
"256","-144.02627563476562","-144.02627563476562","-144.02627563476562"
"257","-146.15623474121094","-146.15623474121094","-146.15623474121094"
"258","-145.4353485107422","-145.4353485107422","-145.4353485107422"
"259","-145.68765258789062","-145.68765258789062","-145.68765258789062"
"260","-144.070556640625","-144.070556640625","-144.070556640625"
